element,web_name,first_name,second_name,team_id,element_type,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,now_cost,cost_change_event,selected_by_percent,form,minutes,starts,total_points,transfers_in_event,transfers_out_event,ep_this,ep_next,team,season,snapshot_time,snapshot_date,current_gw,next_gw,next_deadline,hours_to_deadline
77,Adli,Amine,Adli,3,3,a,NA,NA,,NA,50,0,0.2,0.0,1074,10,67,0,0,NA,1.5,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
78,Kroupi.Jr,Junior,Kroupi,3,3,i,NA,0,Foot injury - Unknown return date,2026-07-29T17:30:09.796802Z,75,0,6.4,0.0,1663,21,113,0,0,NA,0.0,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
79,Evanilson,Francisco Evanilson,de Lima Barbosa,3,4,a,NA,NA,,NA,60,0,2.0,0.0,2741,32,115,0,0,NA,2.0,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
80,Enes Ünal,Enes,Ünal,3,4,a,NA,NA,,NA,55,0,0.2,0.0,214,0,27,0,0,NA,1.8,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
81,Rodríguez,Álvaro,Rodríguez,3,4,a,NA,NA,,NA,60,0,0.3,0.0,0,0,0,0,0,NA,2.0,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
566,Silva,António João,Pereira de Albuquerque Tavares da Silva,3,2,a,NA,NA,,NA,50,0,0.0,0.0,0,0,0,0,0,NA,2.2,BOU,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
82,Kelleher,Caoimhín,Kelleher,4,1,a,NA,NA,,NA,50,0,5.6,0.0,3330,37,143,0,0,NA,2.6,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
83,Valdimarsson,Hákon Rafn,Valdimarsson,4,1,a,NA,NA,,NA,45,0,0.1,0.0,90,1,1,0,0,NA,1.9,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
84,Collins,Nathan,Collins,4,2,a,NA,NA,,NA,55,0,2.0,0.0,2971,32,129,0,0,NA,2.5,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
85,Van den Berg,Sepp,van den Berg,4,2,a,NA,NA,,NA,50,0,0.7,0.0,2761,30,113,0,0,NA,2.2,BRE,2026-27,2026-08-03T20:19:29Z,2026-08-03,NA,1,2026-08-21T17:30:00Z,429.18
